"GET /static/assets/imgs/theme/icons/icon-headphone.svg HTTP/1.1" 200 1251
"GET /static/assets/imgs/theme/icons/icon-facebook-white.svg HTTP/1.1" 200 495
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
"GET /static/assets/imgs/theme/icons/icon-twitter-white.svg HTTP/1.1" 200 1507
"GET /static/assets/imgs/theme/icons/icon-instagram-white.svg HTTP/1.1" 200 743
"GET /static/assets/imgs/theme/icons/icon-pinterest-white.svg HTTP/1.1" 200 539
"GET /static/assets/imgs/theme/icons/icon-youtube-white.svg HTTP/1.1" 200 379
"GET /static/assets/fonts/uicons/uicons-regular-straight.woff2 HTTP/1.1" 200 31072
"GET /static/assets/imgs/theme/icons/icon-5.svg HTTP/1.1" 200 4089
"GET /static/assets/imgs/theme/icons/icon-6.svg HTTP/1.1" 200 6940
"GET /static/assets/imgs/page/login-1.png HTTP/1.1" 200 270812
"GET /static/assets/imgs/theme/icons/icon-location.svg HTTP/1.1" 200 1935
"GET /static/assets/imgs/theme/icons/icon-contact.svg HTTP/1.1" 200 1550
"GET /static/assets/imgs/page/Flogo.png HTTP/1.1" 200 130746
"GET /media/category/Lucid_Origin_A_clean_modern_display_layout_featuring_a_variety_3_1_YtidKKl.jpg HTTP/1.1" 200 701259
"GET /static/assets/imgs/theme/icons/icon-email-2.svg HTTP/1.1" 200 977
"GET /static/assets/imgs/theme/icons/icon-clock.svg HTTP/1.1" 200 1241
"GET /static/assets/imgs/theme/icons/phone-call.svg HTTP/1.1" 200 2918
"GET /static/assets/imgs/banner/banner-22.png HTTP/1.1" 200 940183
"GET /static/assets/imgs/banner/banner-10.png HTTP/1.1" 200 28409
"GET /static/assets/imgs/theme/icons/icon-plane.png HTTP/1.1" 200 3150
"GET /return-confirmation/RMAF2E6C884/ HTTP/1.1" 302 0
"GET /users/sign-in/?next=/return-confirmation/RMAF2E6C884/ HTTP/1.1" 200 149495
"GET /static/assets/imgs/theme/icons/search.png HTTP/1.1" 404 2029
"GET /useradmin/returns/ HTTP/1.1" 200 49211
"GET /static/assets/imgs/page/kstores3.png HTTP/1.1" 404 2014
"GET /static/assets2/js/main.js%3Fv%3D1.1 HTTP/1.1" 404 2003
"GET /useradmin/returns/22/ HTTP/1.1" 200 20816
"GET /static/assets/imgs/page/kstores3.png HTTP/1.1" 404 2014
"GET /static/assets2/js/main.js%3Fv%3D1.1 HTTP/1.1" 404 2003
Internal Server Error: /useradmin/returns/22/
Traceback (most recent call last):
  File "D:\ecommerce\env\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "D:\ecommerce\env\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\ecommerce\ecomm\useradmin\views.py", line 44, in wrapper
    return view_func(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\ecommerce\ecomm\useradmin\views.py", line 789, in admin_return_detail
    return redirect('core:admin-return-detail', pk=return_request.pk)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\ecommerce\env\Lib\site-packages\django\shortcuts.py", line 51, in redirect
    resolve_url(to, *args, **kwargs),
